player_api_id,player_name,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,foot,attack_work_rate,defense_work_rate,height,weight,attacking,skill,movement,power,mentality,defending,goalkeeping,avg,fix_crossing,fix_short_passing,fix_finishing,fix_volleys,fix_heading_accuracy,fix_dribbling,fix_curve,fix_free_kick_accuracy,fix_long_passing,fix_ball_control,fix_acceleration,fix_sprint_speed,fix_agility,fix_reactions,fix_balance,fix_shot_power,fix_jumping,fix_stamina,fix_strength,fix_long_shots,fix_aggression,fix_interceptions,fix_positioning,fix_vision,fix_penalties,fix_marking,fix_standing_tackle,fix_sliding_tackle,fix_gk_diving,fix_gk_handling,fix_gk_kicking,fix_gk_positioning,fix_gk_reflexes
2625,"Patryk Rachwal,18",60.5,61,50,47,46,53,38,56,50,50,66,58,67,63,67,49,76,68,56,77,56,58,71,64,49,55,66,63,63,54,12,11,6,8,8,1,2,1,175.26,154,46.8,56,64.4,63,61,60,9,50.93939394,-0.939393939,2.060606061,-3.939393939,-12.93939394,-4.939393939,5.060606061,-0.939393939,-0.939393939,15.06060606,7.060606061,16.06060606,12.06060606,16.06060606,-1.939393939,25.06060606,17.06060606,5.060606061,26.06060606,5.060606061,7.060606061,20.06060606,13.06060606,-1.939393939,4.060606061,15.06060606,12.06060606,12.06060606,3.060606061,-38.93939394,-39.93939394,-44.93939394,-42.93939394,-42.93939394
2752,Diego Mainz,70,71,36,37,72,55,20,45,30,16,60,56,39,34,43,62,42,57,55,59,84,17,82,72,31,52,35,74,73,65,11,6,7,9,15,1,2,1,187.96,174,44,41.4,44,54.4,54.4,70.66666667,9.6,43.96969697,-7.96969697,11.03030303,-6.96969697,-23.96969697,28.03030303,1.03030303,-13.96969697,-27.96969697,16.03030303,12.03030303,-4.96969697,-9.96969697,-0.96969697,18.03030303,-1.96969697,13.03030303,11.03030303,15.03030303,40.03030303,-26.96969697,38.03030303,28.03030303,-12.96969697,8.03030303,-8.96969697,30.03030303,29.03030303,21.03030303,-32.96969697,-37.96969697,-36.96969697,-34.96969697,-28.96969697
2768,Jose Dorado,72,73,42,42,69,68,28,39,53,19,56,58,57,55,58,72,61,38,77,52,70,20,62,78,38,57,25,74,73,81,11,14,12,13,9,-1,2,1,180.34,154,49.8,45,60.6,51.4,52,76,11.8,47.90909091,-5.909090909,20.09090909,-5.909090909,-19.90909091,21.09090909,-8.909090909,5.090909091,-28.90909091,8.090909091,10.09090909,9.090909091,7.090909091,10.09090909,24.09090909,13.09090909,-9.909090909,29.09090909,4.090909091,22.09090909,-27.90909091,14.09090909,30.09090909,-9.909090909,9.090909091,-22.90909091,26.09090909,25.09090909,33.09090909,-36.90909091,-33.90909091,-35.90909091,-34.90909091,-38.90909091
2770,Ignacio Gonzalez,71,72,62,68,71,72,69,71,84,71,70,76,63,54,63,65,62,72,56,47,61,74,56,41,70,73,69,33,43,25,12,13,6,14,15,1,2,1,180.34,161,68.4,74.4,61.4,62,61.8,33.66666667,12,54.57575758,7.424242424,17.42424242,13.42424242,14.42424242,16.42424242,16.42424242,29.42424242,16.42424242,15.42424242,21.42424242,8.424242424,-0.575757576,8.424242424,10.42424242,7.424242424,17.42424242,1.424242424,-7.575757576,6.424242424,19.42424242,1.424242424,-13.57575758,15.42424242,18.42424242,14.42424242,-21.57575758,-11.57575758,-29.57575758,-42.57575758,-41.57575758,-48.57575758,-40.57575758,-39.57575758
2790,Alberto Rey,71,76,71,37,55,68,43,64,67,56,71,67,71,71,65,69,67,46,61,75,72,42,67,60,62,60,54,77,77,69,8,21,71,21,21,-1,0,1,175.26,163,54.8,65,68.6,59.2,60.6,74.33333333,28.4,57.75757576,13.24242424,10.24242424,-20.75757576,-14.75757576,-2.757575758,6.242424242,9.242424242,-1.757575758,13.24242424,9.242424242,13.24242424,13.24242424,7.242424242,11.24242424,9.242424242,-11.75757576,3.242424242,17.24242424,14.24242424,-15.75757576,9.242424242,2.242424242,4.242424242,2.242424242,-3.757575758,19.24242424,19.24242424,11.24242424,-49.75757576,-36.75757576,13.24242424,-36.75757576,-36.75757576
2796,Javier Jimenez,67,71,14,12,17,22,13,14,24,23,21,19,52,52,63,64,51,36,83,34,53,11,27,24,18,27,20,14,14,15,75,60,60,59,73,1,2,1,182.88,170,15.6,20.2,56.4,43.4,23.2,14.33333333,65.4,35.27272727,-21.27272727,-13.27272727,-23.27272727,-22.27272727,-18.27272727,-21.27272727,-11.27272727,-12.27272727,-14.27272727,-16.27272727,16.72727273,16.72727273,27.72727273,28.72727273,15.72727273,0.727272727,47.72727273,-1.272727273,17.72727273,-24.27272727,-8.272727273,-11.27272727,-17.27272727,-8.272727273,-15.27272727,-21.27272727,-21.27272727,-20.27272727,39.72727273,24.72727273,24.72727273,23.72727273,37.72727273
2802,Pablo Hernandez,76,78,77,71,53,70,65,85,83,77,69,81,81.5,79,84,69,79,76,67,59,51,77,54,49,73,74,72,42,47,36,13,16,9,9,7,1,3,3,172.72,159,67.2,79,78.5,66,64.4,41.66666667,10.8,59.22727273,17.77272727,10.77272727,11.77272727,5.772727273,-6.227272727,25.77272727,23.77272727,17.77272727,9.772727273,21.77272727,22.27272727,19.77272727,24.77272727,9.772727273,19.77272727,16.77272727,7.772727273,-0.227272727,-8.227272727,17.77272727,-5.227272727,-10.22727273,13.77272727,14.77272727,12.77272727,-17.22727273,-12.22727273,-23.22727273,-46.22727273,-43.22727273,-50.22727273,-50.22727273,-52.22727273
2805,Ruben Perez,74,78,52,43,56,75,26,56,55,57,68,70,66,67,63,75,70,78,73,78,76,70,82,83,58,74,50,59,80,64,11,8,13,9,15,1,2,1,177.8,159,50.4,61.2,68.2,75,69.4,67.66666667,11.2,56.96969697,-4.96969697,18.03030303,-13.96969697,-30.96969697,-0.96969697,-0.96969697,-1.96969697,0.03030303,11.03030303,13.03030303,9.03030303,10.03030303,6.03030303,18.03030303,13.03030303,21.03030303,16.03030303,21.03030303,19.03030303,13.03030303,25.03030303,26.03030303,1.03030303,17.03030303,-6.96969697,2.03030303,23.03030303,7.03030303,-45.96969697,-48.96969697,-43.96969697,-47.96969697,-41.96969697
2857,Ivan Perez,65,67,67,54,44,60,58,70,72,68,68,72,64,62,73,59,81,71,71,46,58,60,41.5,41,57.5,63,58,28,36,23,12,8,15,6,11,-1,2,1,172.72,143,56.6,70,67.8,61.2,52.2,29,10.4,50.84848485,16.15151515,9.151515152,3.151515152,7.151515152,-6.848484848,19.15151515,21.15151515,17.15151515,17.15151515,21.15151515,13.15151515,11.15151515,22.15151515,8.151515152,30.15151515,20.15151515,20.15151515,-4.848484848,7.151515152,9.151515152,-9.348484848,-9.848484848,6.651515152,12.15151515,7.151515152,-22.84848485,-14.84848485,-27.84848485,-38.84848485,-42.84848485,-35.84848485,-44.84848485,-39.84848485
2862,Vicente Sanchez,72,72,68,64,59,70,68,77,70,70,64,74,83,84,88,71,75,73,81,56,60,68,51,37,69,70,74,21,25,25,10,14,6,9,5,-1,3,3,170.18,146,65.8,71,80.2,67.6,60.2,23.66666667,8.8,55.72727273,12.27272727,14.27272727,8.272727273,12.27272727,3.272727273,21.27272727,14.27272727,14.27272727,8.272727273,18.27272727,27.27272727,28.27272727,32.27272727,15.27272727,19.27272727,17.27272727,25.27272727,0.272727273,4.272727273,12.27272727,-4.727272727,-18.72727273,13.27272727,14.27272727,18.27272727,-34.72727273,-30.72727273,-30.72727273,-45.72727273,-41.72727273,-49.72727273,-46.72727273,-50.72727273
